point,temperature,humidity
강릉,21.1,49
강진군,20.0,61
강화,20.5,45
거제,21.0,59
거창,19.4,57
경주시,21.0,45
고산,19.3,77
고창,20.6,46
고창군,20.6,52
고흥,20.5,64
광양시,19.5,64
광주,20.0,70
구미,20.5,52
군산,19.8,54
금산,19.8,56
김해시,22.1,52
남원,20.7,55
남해,19.6,63
대관령,13.9,69
대구,21.6,47
대전,19.8,55
동두천,20.4,44
동해,19.9,53
목포,20.4,51
문경,20.1,55
밀양,22.0,46
백령도,19.0,58
보령,20.1,47
보성군,20.7,57
보은,19.0,57
봉화,18.0,60
부산,21.6,51
부안,21.1,43
부여,20.2,54
북강릉,19.6,53
북부산,22.6,47
북창원,22.8,53
북춘천,20.4,55
산청,20.0,59
상주,20.2,59
서귀포,20.2,70
서산,19.7,54
서울,20.8,43
서청주,20.4,50
성산,16.6,91
세종,20.0,55
속초,21.0,47
수원,20.1,48
순창군,20.6,54
순천,19.3,60
안동,20.2,57
양산시,22.8,50
양평,20.5,48
여수,19.5,60
영광군,20.6,42
영덕,16.1,91
영월,19.3,56
영주,19.7,52
영천,20.8,52
완도,19.2,64
울릉도,17.5,64
울산,20.4,49
울진,19.4,70
원주,20.5,46
의령군,22.2,61
의성,21.3,52
이천,20.1,53
인제,20.0,50
인천,20.7,43
임실,20.3,54
장수,18.8,56
장흥,20.0,61
전주,20.9,46
정선군,19.4,50
정읍,21.1,44
제주,20.5,72
제천,18.8,56
진도군,19.5,61
진주,21.1,59
창원,21.9,51
천안,20.4,51
철원,21.3,32
청송군,18.5,67
청주,21.1,44
추풍령,18.5,62
춘천,20.5,49
충주,20.2,55
태백,13.5,75
통영,21.0,59
파주,21.0,47
포항,20.7,62
함양군,20.5,54
합천,21.5,52
해남,19.8,59
홍성,19.7,54
홍천,20.3,52
흑산도,18.9,74
