point, temperature, humidity
강릉,-0.2,54
강진군,-0.7,85
강화,-4.3,92
거제,0.6,65
거창,-3.5,77
경주시,-3.0,71
고산,6.4,68
고창,-0.7,81
고창군,-1.4,88
고흥,-0.4,75
광양시,-1.4,75
광주,-0.2,88
구미,-3.1,80
군산,-0.7,87
금산,-3.4,87
김해시,-0.3,62
남원,-3.2,90
남해,1.0,61
대관령,-7.6,80
대구,-1.4,69
대전,-0.8,73
동두천,-4.0,78
동해,-0.7,55
목포,1.8,67
문경,-3.6,77
밀양,-2.5,73
백령도,1.3,51
보령,-0.3,95
보성군,-1.8,82
보은,-2.9,89
봉화,-4.8,80
부산,1.7,51
부안,-0.2,89
부여,-1.2,97
북강릉,-1.7,59
북부산,-1.5,67
북창원,1.4,60
북춘천,-6.1,80
산청,-2.0,72
상주,-3.0,77
서귀포,5.8,56
서산,-1.3,95
서울,-2.1,74
서청주,-1.9,86
성산,3.1,79
세종,-0.8,85
속초,-0.8,48
수원,-2.8,77
순창군,-3.9,94
순천,-2.6,81
안동,-4.0,70
양산시,-1.1,69
양평,-4.9,89
여수,0.9,59
영광군,-0.5,83
영덕,-2.4,65
영월,-4.8,83
영주,-4.6,76
영천,-2.9,73
완도,0.7,73
울릉도,1.3,59
울산,-0.9,59
울진,-0.8,53
원주,-3.4,78
의령군,-3.0,82
의성,-5.7,84
이천,-4.7,90
인제,-5.5,83
인천,-1.7,73
임실,-4.3,93
장수,-7.2,94
장흥,-2.0,86
전주,-0.4,83
정선군,-7.3,78
정읍,-2.0,86
제주,6.0,57
제천,-7.5,93
진도군,1.0,86
진주,-3.2,73
창원,-0.7,57
천안,-1.4,79
철원,-6.1,89
청송군,-5.9,79
청주,-0.4,74
추풍령,-3.9,74
춘천,-6.1,84
충주,-5.1,87
태백,-6.7,65
통영,0.1,60
파주,-5.4,85
포항,-0.7,56
함양군,-2.4,79
합천,-2.5,71
해남,0.8,85
홍성,-0.6,99
홍천,-4.9,83
흑산도,3.6,62
