point, temperature, humidity
강릉,27.1,33
강진군,26.8,42
강화,17.9,64
거제,22.8,56
거창,29.3,20
경주시,26.9,33
고산,18.1,76
고창,21.8,37
고창군,24.7,32
고흥,25.8,42
광양시,26.7,46
광주,26.8,31
구미,28.5,24
군산,19.4,55
금산,26.6,19
김해시,22.1,59
남원,27.4,32
남해,25.6,47
대관령,23.3,22
대구,29.9,18
대전,26.7,17
동두천,26.6,31
동해,22.0,48
목포,20.2,50
문경,27.4,23
밀양,29.4,19
백령도,15.0,70
보령,23.2,42
보성군,25.4,49
보은,26.0,29
봉화,26.8,23
부산,19.8,72
부안,19.8,53
부여,26.9,26
북강릉,24.8,35
북부산,23.9,44
북창원,27.4,40
북춘천,28.4,20
산청,28.3,34
상주,28.2,24
서귀포,21.6,69
서산,22.5,35
서울,24.8,41
서청주,24.9,28
성산,20.4,68
세종,26.3,22
속초,22.6,44
수원,22.0,38
순창군,26.0,32
순천,27.1,26
안동,28.2,26
양산시,25.8,45
양평,26.3,27
여수,21.9,61
영광군,21.2,38
영덕,24.4,35
영월,26.8,22
영주,27.2,28
영천,28.0,25
완도,26.6,43
울릉도,19.6,73
울산,21.0,53
울진,20.2,60
원주,26.5,23
의령군,29.4,23
의성,29.2,24
이천,26.9,31
인제,27.5,19
인천,20.2,45
임실,25.5,36
장수,26.2,22
장흥,24.6,49
전주,24.1,42
정선군,29.7,18
정읍,24.1,35
제주,22.1,54
제천,25.9,25
진도군,21.1,45
진주,27.1,44
창원,23.7,41
천안,24.6,27
철원,26.7,24
청송군,29.1,14
청주,26.3,24
추풍령,26.1,25
춘천,27.8,19
충주,26.6,25
태백,25.6,26
통영,20.5,64
파주,23.5,50
포항,25.2,35
함양군,29.7,32
합천,28.2,28
해남,24.1,43
홍성,24.1,27
홍천,27.6,23
흑산도,16.0,76
