point, temperature, humidity
강릉,16.8,83
강진군,21.1,82
강화,15.8,100
거제,19.4,89
거창,17.9,99
경주시,18.0,94
고산,22.4,78
고창,18.6,94
고창군,18.7,94
고흥,19.7,98
광양시,20.1,97
광주,20.4,99
구미,18.7,91
군산,18.3,91
금산,18.2,99
김해시,19.3,94
남원,19.5,97
남해,20.5,99
대관령,10.6,95
대구,18.5,88
대전,17.2,92
동두천,15.3,94
동해,16.0,93
목포,20.5,84
문경,18.3,100
밀양,19.1,85
백령도,17.3,77
보령,18.1,93
보성군,21.1,94
보은,17.3,99
봉화,16.0,94
부산,19.4,79
부안,19.1,92
부여,17.5,97
북강릉,15.4,87
북부산,19.4,82
북창원,20.3,92
북춘천,15.3,91
산청,18.8,98
상주,18.7,100
서귀포,23.7,75
서산,16.6,93
서울,18.6,76
서청주,16.5,96
성산,21.9,84
세종,17.0,93
속초,15.1,84
수원,17.3,89
순창군,19.8,91
순천,19.0,99
안동,18.6,90
양산시,19.9,84
양평,16.8,86
여수,20.7,95
영광군,18.7,92
영덕,17.4,86
영월,16.7,83
영주,16.7,100
영천,17.9,96
완도,21.3,84
울릉도,19.0,83
울산,17.9,90
울진,17.2,84
원주,17.9,84
의령군,19.7,91
의성,18.6,91
이천,15.8,99
인제,14.2,92
인천,19.1,71
임실,18.5,97
장수,18.0,100
장흥,20.4,91
전주,19.3,88
정선군,14.0,89
정읍,19.1,90
제주,23.1,74
제천,16.0,95
진도군,20.4,83
진주,19.2,96
창원,19.6,86
천안,16.0,97
철원,14.1,96
청송군,16.7,99
청주,19.6,74
추풍령,17.8,92
춘천,15.8,89
충주,16.6,92
태백,12.7,90
통영,19.5,87
파주,14.8,100
포항,19.7,69
함양군,19.6,94
합천,19.3,91
해남,20.6,84
홍성,17.5,99
홍천,15.7,92
흑산도,19.8,89
